Open.Year,Show.Name,Show.Type,Show.Theatre
1998,Golden Child,Play,Longacre Theatre
2011,Good People,Play,Friedman Theatre
2004,Good Vibrations,Musical,Eugene O'Neill Theatre
2000,Gore Vidal'S The Best Man,Play,Virginia Theatre
2012,Gore Vidal'S The Best Man '12,Play,Schoenfeld Theatre
2012,Grace,Play,Cort Theatre
1995,Grease,Musical,Eugene O'Neill Theatre
2007,Grease 07,Musical,Brooks Atkinson Theatre
2006,Grey Gardens,Musical,Walter Kerr Theatre
2009,Guys And Dolls '09,Musical,Nederlander Theatre
2003,Gypsy '03,Musical,Shubert Theatre
2008,Gypsy '08,Musical,St. James Theatre
2009,Hair,Musical,Al Hirschfeld Theatre
2011,Hair '11,Musical,St. James Theatre
2002,Hairspray,Musical,Neil Simon Theatre
2015,Hamilton,Musical,Richard Rodgers Theatre
2009,Hamlet '09,Play,Broadhurst Theatre
1995,Hamlet 95,Play,Belasco Theatre
2015,Hand To God,Play,Booth Theatre
2013,Hands On A Hardbody,Musical,Brooks Atkinson Theatre
2010,"Harry Connick, Jr. '10",Special,Neil Simon Theatre
2012,Harvey,Play,Studio 54 Theatre
1995,Having Our Say,Play,Booth Theatre
2006,Heartbreak House,Play,American Airlines Theatre
2001,Hedda Gabler 01,Play,Ambassador Theatre
2009,Hedda Gabler 09,Play,American Airlines Theatre
2014,Hedwig And The Angry Inch,Musical,Belasco Theatre
1995,"Hello, Dolly!",Musical,Lunt-Fontanne Theatre
2003,Henry Iv,Play,Vivian Beaumont Theatre
2011,High,Play,Booth Theatre
2006,High Fidelity,Musical,Imperial Theatre
1998,High Society,Musical,St. James Theatre
1995,Holiday,Play,Circle In The Square Theatre
2014,Holler If Ya Hear Me,Musical,Palace Theatre
2002,Hollywood Arms,Play,Cort Theatre
2014,Honeymoon In Vegas,Musical,Nederlander Theatre
1998,Honour,Play,Belasco Theatre
2006,Hot Feet,Musical,Hilton Theatre Theatre
1995,How To Succeed In Business Without Really Trying,Musical,Richard Rodgers Theatre
2011,How To Succeed In Business Without Really Trying '11,Musical,Al Hirschfeld Theatre
2011,"Hugh Jackman, Back On Broadway",Special,Broadhurst Theatre
1996,Hughie,Play,Circle In The Square Theatre
2016,Hughie 2016,Play,Booth Theatre
2003,I Am My Own Wife,Play,Lyceum Theatre
2001,If You Ever Leave Me?I'M Going With You,Play,Cort Theatre
2014,If/Then,Musical,Richard Rodgers Theatre
2013,Il Divo - A Musical Affair,Special,Marquis Theatre
2013,I'Ll Eat You Last: A Chat With Sue Mengers,Play,Booth Theatre
2002,I'M Not Rappaport '02,Play,Booth Theatre
1998,I'M Still Here...Damn It!,Play,Booth Theatre
2002,Imaginary Friends,Play,Ethel Barrymore Theatre
2009,Impressionism,Play,Schoenfeld Theatre
2005,In My Life,Musical,Music Box Theatre
2008,In The Heights,Musical,Richard Rodgers Theatre
2009,In The Next Room Or The Vibrator Play,Play,Lyceum Theatre
1995,Indiscretions,Play,Ethel Barrymore Theatre
2007,Inherit The Wind 07,Play,Lyceum Theatre
2002,Into The Woods '02,Musical,Broadhurst Theatre
2009,Irena'S Vow,Play,Walter Kerr Theatre
2008,Irving Berlin'S White Christmas,Musical,Marquis Theatre
2009,Irving Berlin'S White Christmas '09,Musical,Marquis Theatre
2007,Is He Dead?,Play,Lyceum Theatre
1999,It Ain'T Nothin' But The Blues,Musical,Vivian Beaumont Theatre
1999,It Ain'T Nothin' But The Blues,Musical,Ambassador Theatre
2015,It Shoulda Been You,Musical,Brooks Atkinson Theatre
1996,It'S A Slippery Slope,Special,Vivian Beaumont Theatre
2014,It'S Only A Play,Play,Schoenfeld Theatre
2015,It'S Only A Play,Play,Jacobs Theatre
1997,Ivanov,Play,Vivian Beaumont Theatre
2005,Jackie Mason:  Freshly Squeezed,Play,Helen Hayes Theatre
1995,Jackie Mason:  Politically Incorrect,Play,Golden Theatre
1999,Jackie Mason: Much Ado About Everything,Play,Golden Theatre
2003,Jackie Mason'S Laughing Room Only,Musical,Brooks Atkinson Theatre
1997,Jackie: An American Life,Play,Belasco Theatre
1999,James Joyce'S The Dead,Musical,Belasco Theatre
2000,Jane Eyre,Musical,Brooks Atkinson Theatre
2006,Jay Johnson: The Two And Only,Play,Helen Hayes Theatre
1997,Jekyll & Hyde,Musical,Plymouth Theatre
2013,Jekyll & Hyde '13,Musical,Marquis Theatre
1998,Jerry Seinfeld,Special,Broadhurst Theatre
2005,Jersey Boys,Musical,Virginia Theatre
2005,Jersey Boys,Musical,August Wilson Theatre
2011,Jerusalem,Play,Music Box Theatre
2000,Jesus Christ Superstar,Musical,Ford Center (Tcn) Theatre
2012,Jesus Christ Superstar '12,Musical,Neil Simon Theatre
2009,Joe Turner'S Come And Gone '09,Play,Belasco Theatre
2007,Journey'S End,Play,Belasco Theatre
1996,Juan Darien,Musical,Vivian Beaumont Theatre
2001,Judgment At Nuremberg,Play,Longacre Theatre
2005,Julius Caesar,Play,Belasco Theatre
2004,Jumpers,Play,Brooks Atkinson Theatre
1999,Kat And The Kings,Musical,Cort Theatre
2011,Kathy Griffin Wants A Tony,Special,Belasco Theatre
2006,Kiki & Herb: Alive On Broadway,Musical,Helen Hayes Theatre
2015,King Charles Iii,Play,Music Box Theatre
1997,King David,Special,New Amsterdam Theatre
2001,King Hedley Ii,Play,Virginia Theatre
2004,King Lear,Play,Vivian Beaumont Theatre
2013,Kinky Boots,Musical,Al Hirschfeld Theatre
1999,"Kiss Me, Kate",Musical,Martin Beck Theatre
1995,Kiss Of The Spider Woman,Musical,Broadhurst Theatre
2010,La Bete '10,Play,Music Box Theatre
2002,La Bohäme,Musical,Broadway Theatre
2004,La Cage Aux Folles '04,Musical,Marquis Theatre
2010,La Cage Aux Folles '10,Musical,Longacre Theatre
2014,Lady Day At Emerson'S Bar & Grill,Play,Circle In The Square Theatre
2005,Latinologues,Play,Helen Hayes Theatre
2004,Laugh Whore,Play,Cort Theatre
2012,Leap Of Faith,Musical,St. James Theatre
2007,Legally Blonde,Musical,Palace Theatre
2010,Lend Me A Tenor '10,Play,Music Box Theatre
2005,Lennon,Musical,Broadhurst Theatre
2008,Les Liaisons Dangereuses 08,Play,American Airlines Theatre
1995,Les Miserables,Musical,Imperial Theatre
2014,Les Miserables '14,Musical,Imperial Theatre
2006,Les Miserables 2006,Musical,Broadhurst Theatre
2006,Lestat,Musical,Palace Theatre
2013,Let It Be,Special,St. James Theatre
2003,Life X 3,Play,Circle In The Square Theatre
1998,Little Me,Musical,Criterion Theatre
2003,Little Shop Of Horrors,Musical,Virginia Theatre
2004,Little Women,Musical,Virginia Theatre
2015,Living On Love,Play,Longacre Theatre
2008,Liza'S At The Palace,Special,Palace Theatre
2010,Lombardi,Play,Circle In The Square Theatre
1997,London Assurance,Play,Criterion Theatre
2003,Long Day'S Journey Into Night 03,Play,Plymouth Theatre
2016,Long Day'S Journey Into Night 2016,Play,American Airlines Theatre
2010,Looped,Play,Lyceum Theatre
2015,Lord Of The Dance: Dangerous Games,Special,Lyric Theatre
2006,Losing Louie,Play,Biltmore Theatre
2005,Love / Life,Special,Vivian Beaumont Theatre
2014,Love Letters 2014,Play,Brooks Atkinson Theatre
1996,Love Thy Neighbor,Play,Booth Theatre
1995,Love! Valour! Compassion!,Play,Walter Kerr Theatre
2007,Lovemusik,Musical,Biltmore Theatre
2013,Lucky Guy,Play,Broadhurst Theatre
2011,Lysistrata Jones,Musical,Walter Kerr Theatre
2003,Ma Rainey'S Black Bottom '03,Play,Royale Theatre
2000,Macbeth 00,Play,Music Box Theatre
2008,Macbeth 08,Play,Lyceum Theatre
2013,Macbeth '13,Play,Ethel Barrymore Theatre
2013,Macbeth '13 (Lct),Play,Vivian Beaumont Theatre
2013,Machinal,Play,American Airlines Theatre
2012,Magic/Bird,Play,Longacre Theatre
2001,Major Barbara,Play,American Airlines Theatre
2001,Mamma Mia!,Musical,Winter Garden Theatre
2002,Mamma Mia!,Musical,Cadillac Winter Garden Theatre
2013,Mamma Mia!,Musical,Broadhurst Theatre
2011,Man And Boy,Play,American Airlines Theatre
2002,Man Of La Mancha 02,Musical,Martin Beck Theatre
2003,Man Of La Mancha 02,Musical,Al Hirschfeld Theatre
1997,Mandy Patinkin,Special,Lyceum Theatre
1998,Mandy Patinkin In Concert: Mamaloshen,Special,Belasco Theatre
2013,Manilow On Broadway,Special,St. James Theatre
2004,Marc Salem'S Mind Games,Special,Lyceum Theatre
1999,Marie Christine,Musical,Vivian Beaumont Theatre
2005,Mark Twain Tonight!,Play,Brooks Atkinson Theatre
1999,Marlene,Musical,Cort Theatre
2006,Martin Short: Fame Becomes Me,Musical,Jacobs Theatre
2006,Mary Poppins,Musical,New Amsterdam Theatre
2009,Mary Stuart,Play,Broadhurst Theatre
1995,Master Class,Play,Golden Theatre
2011,Master Class '11,Play,Friedman Theatre
2003,Master Harold?And The Boys,Play,Royale Theatre
