reviews
" 	Some might be offended by the language - but it is Parker and Stone"
" 	Unusual and amazing play. Definitely a bit unexpected but worth the wait for tickets. 			The Book of 	Top Play on Broadway	Abigail C	--	"
" 	Funniest show on the planet. The best I have ever seen!			The Book of 	You won't see a better show	iamarugger	--	"
" 	May be the funniest show I have ever seen. So irreverent"
" 	The best musical in years. Haven't laughed this hard since The Producers or Hairspray. Get a ticket. The music is great. The story is a great journey and ironically the musical has something heartfelt and interesting to say about religion. Don't miss it.			The Book of 	Amazing and hysterical nite of musical theatre	dgoldyn	--	"
" 	I have seen dozens of musicals"
" 	This show will keep you in stitches. Singing and story are so clever.			The Book of 	Hilarious	glittercat_	--	"
" 	Well worth the ticket price. The acting and singing were superb. Not for anyone younger than "
" 	We were bought tickets to see this by our friend in NY and did not know what to expect. It was by far the funniest and most brilliant stage production I have ever seen. Incredibly intelligent"
" 	Just an absolutely amazing show. The humor and language can be a surprise to those who do not know the humor of the Trey Parker and Matt Stone but if you let your walls down the performance and its message will win you over. The tickets are almost impossible to get but I got lucky and won them at the pre-show lottery. Check it out on their website for the info on the lottery. http://bookofbroadway.com/google.html?gclid=COmtHWqKCFQjdAodokoBWg			The Book of 	Just the best thing EVER!!!	Bexx	--	"
" 	Very funny"
" 	""I had been lucky enough to get a last minute ticket in November while on a quick business trip. This time it was a weekend and I wasn't quite as fortunate...note to self"
" 	Hasa diga eebowie! We left the eugene o'neill theater chanting it. Book or  is the funniest show I've ever seen. The religious fanatics who hate it miss the point of the story because they are offended by the crudeness and language (but HELLO?! what did they expect from the creators of south park?). The Book of  is"
" 	Not for ones who get offended easily or at all"
" 	A refreshing"
" 	""The Book of  musical was crass"
" 	Maybe the best Broadway musical I have seen. Witty and catchy musical numbers. However it is irreverent and language can be salty. If you will be offended by a bouncy song about cursing god for your misfortunes"
" 	and I've seen a lot. I am a huge fan of Trey Parker and Matt Stone"
" 	This show was completely irreverent and hilarious and lived up to expectations. Laughed out loud and very clever and thought provo			The Book of 	awesome	izsme	--	"
" 	This show has a lot of valid observations about religion and relationships. It is very"
" 	We very much enjoyed The Book of . It skewered ism and religions in general for their arrogance and cultural insensitivity. The audience gave the cast a standing ovation. 			The Book of 	The Book of  had us howling	QuakerBoy	--	"
" 	Well"
" 	This was an amazing show. Very naughty"
" 	This is the perfect Broadway show. It has great music with witty lyrics"
" 	My family (wife"
" 	It's no surprise that the Book of  won nine Tony Awards. The collaboration between the creators of South Park and composer of Avenue Q is absolutely brilliant. The humor is hilarious and off the wall. Since it's quite raunchy at times -- there is a lot of profanity"
" 	The book of  is one of hte funniest show's you will ever see"
" 	Not funny"
" 	If you can't take every boundary of propriety being crossed"
" 	""I did not think I was going to like this musical"
" 	It won all those awards and is hard to get tx for a reason!			The Book of 	What Can I Say?	Dan W	--	"
" 	The hype is worth it. This winner of  Tonys is one of the most refreshing and funny comedies in years (brought by the creators of South Park). The songs are catchy"
" 	a definate must see! (provided you can score tickets) I hadn't laughed that hard at a show ever.			The Book of 	they did it again	CityGal	--	"
" 	Funny and timely evidence that religion is obsolite			The Book of 	Sign of the times	Zhiv	--	"
" 	This was a Great Show! It's whitty and fun from the creators of south park. I will say the tickets are VERY expensive but the show was enjoyable!			The Book of 	Book of ! Funny"
" 	As you would expect"
" 	My husband and I were able to get tickets at the very last minute at the Box Office. Were we lucky. Cast"
" 	This play is not for the faint of heart but it is absolutely hilarious. It sells out often and tickets tend to be expensive but I was able to find tickets for $ just scrolling around the internet the day of the performance.			The Book of 	Hilarious and not to be missed	Sarshebert	--	"
" 	I understand it is shoc for out of towners and religious to hear a song translated to F U ___. But"
" 	This show is hilarious"
" 	If vulgar language makes you queasy"
" 	""Somehow our son got tickets for us"
" 	This is by far the best musical comedy I have ever seen. I listened to the soundtrack before I saw the performance"
" 	I had been dying to see BOM since I heard the excellent reviews. My husband and I were able to get tickets for December .  The show is everything they promise. It's entertaining and hilarious. Many of the current cast received or were nominated for Tony's and it's no surprise. The music is fun"
" 	Book of  was one of the most enjoyable musicals I've ever seen on Broadway. I know different people have different tastes"
" 	Don't miss. Well deserved praise and extremely entertaining. Brush up on your South Park brand of humor and  history to get the full impact. Got seated after first scene as solo even though theater sold out. Will go again for sure. Enjoy			The Book of 	Terrific to the very end	DEWDENVER	--	"
" 	""So funny. Great evening at the theatre. This WILL offend some hoighty toighty types. if you like South Park you will like this"
" 	A funny musical that is wrong in all the right places. Purchase your tickets early. Get any seat you can. I wouldn???t pay for the expensive seats. I paid $ for the cheap seats (yes that is the cheap ticket) and had a great view. The theater is VERY small. I???m ?????ù and could barely fit in my seat. But the slight discomfort was worth it to see the show.			The Book of 	The Best Musical Ever	Leo	--	"
" 	""After reading reviews stating that this musical only raised questions for discussion about religious experience and that s were not demeaned"
" 	OK - if you are bothered by profanity - DON'T GO!! But if you don't mind dirty words - this show is immensely entertaining. Superb acting"
" 	""Ok I know"
" 	The show is the hottest in town right now"
" 	Gotta see! The site of a blond bob haired middle white American woman singing along to I've got maggots in my scrotum was the funniest thing I have seen in ages! So rude it's brilliant!			The Book of 	Hysterical	richb	--	"
" 	Excellent show"
" 	""I love spoofs"
" 	I've been going to Broadway shows for  years...Sweeney Todd with the original cast was my former favorite"
" 	""The great reviews are """"right on"""". The show is cleaver"
" 	Looked for tickets for weeks and found nothing had popped up on telecharge. Ticket brokers had tickets for $-$ each"
" 	The savior of musicals! Original"
" 	We love it - the cast were so talented - Josh and Andrew were perfect - and we laughed from start to finish. So irreverent"
" 	This musical is a parody which makes a lot of fun of ism while preserving the values of family and friendship. All the acting"
" 	We love the energy and music"
" 	The acting and singing is terrific"
" 	I saw this show about a year ago and I'm still laughing. Not for children. On second thought"
" 	Hilarious and wildly funny. Makes you contemplate changing religions. Tough ticket"
" 	Funny show. Pretty naughty in an Avenue Q sort of way.			The Book of 	Entertaining	TheRodes	--	"
" 	I usually cringe when my sister bribes me into going to the theater with her - I am not one for modern stage productions. The Book of "
" 	Great show. Both my husband and I thought it was absolutely hilarious. However"
" 	Of all of the Broadway Shows we've seen"
" 	A great production. The acting and music were superb.			The Book of 	Hilarious	alvinmc	--	"
" 	We saw  plays a few weeks ago - this was the very best. Worth every penny of the $ I paid PER TICKET. Can't say enough about how good it was. Just be prepared for the f-word plus more. Want to go again!			The Book of 	Totally irreverent and hilarious	OkobojiChick	--	"
" 	I think this play is brilliant. I love the story. Ultimately"
" 	Brilliant! Get your tickets now!! Seriously!! If I could go back tomorrow night again I would! Hurt my face laughing so much! Yes - at times this is politically incorrect - or not culturally aware - or whatever term we are supposed to use these days - buts its by the south park guys"
" 	Borrow money"
" 	After  hours of waiting in the cancellation line"
" 	""This was a wonderful"
" 	A fun play that hits the mark for addressing the brainwashing religions- all of them. Irreverant"
" 	Very quick moving well written and fun. It is very profane so not for the faint of heart.			The Book of 	Action starts with the opening of the curtain	tdcCT	--	"
" 	The hype is all justified. We took our  and  year old daughters. It was completely inappropriate for the younger daughter"
" 	Hilarious - offensive"
" 	though a tony winner"
" 	""First off"
" 	From start to end"
" 	This is the most fun and hilarious show I've seen. The theater is small and intimate (no leg room at all in the seats) so you really feel a part of the show. It is inappropriate and politically incorrect which is what you should expect. So so much fun"
" 	This show was hysterical! love everything about it. I wouldn't go if you were either religously sensitive or a !			The Book of 	Don't go if you're the sensitive type!	CTKath	--	"
" 	Fast paced and fun entertainment but with some underlying themes that make you think. Buy your tickets early. Small theater"
" 	I could probably see this play two or three times. Music is great and the book is so delightfully irreverent.			The Book of 	Brilliant production by a talented cast.	LyleandTerry	--	"
" 	Irreverent"
" 	Actually only saw this on advise of theaters going friend that I trust. It is hilarious and I enjoyed every minute of it!			The Book of 	Run don't walk to this amazing show!	patricia b	--	"
" 	Good luck getting a ticket - but if you do"
" 	Do the standing room too - it is fine and save serious bucks...			The Book of 	Best show eva	Seabassnow	--	"
" 	A terrific spoof on everything! Very entertaining.			The Book of 	FUN!	moosella	--	"
" 	Laughed out loud throughout the play. It is a unique play...more of a comedy with music and well worth seeing. 			The Book of 	Funny	tptravelenfun	--	"
" 	Had to order tickets well in advance but worth the wait and money! 			The Book of 	Hilarious	Kapidolo	--	"
" 	Highly recommend for laugh out loud fun. Caution highly irreverent. 			The Book of 	Such a Hoot!	cyd k	--	"
" 	This All-American Broadway show should make a great touring production. Very funny"
" 	I've seen a lot of musicals"
" 	Expensive beyond even reason"
" 	This show is tons of fun. Very raunchy. I went with my in laws would have been better to go with friends! This show is for a mature audience! Not a bad seat in the house.			The Book of 	GO!	Arlington	--	"
" 	One of the most fun shows I've seen in years BUT some people may find it offensive. If you love South Park"
" 	Great entertainment but not really a family show. Hard to get tickets. Staging and performances were excellent. A new style production which is irreverant but funny! Very enjoyable.			The Book of 	Satirical... funny... blunt and loaded with energy!	JAR	--	"
" 	Had to book these tickets  months ago but it was well worth the wait. The South Park guys are brilliant!			The Book of 	amazing"
" 	this is a funny and rude musical by the authors of south park. try to see michael gad"
" 	We don't go to music often. This one was just plain fun. As long as you are tolerant of adult language"
" 	""Before seeing The Book of  (TBOM)"
" 	This show was hilarious!! I laughed continuously and would love to see it again and again. There were tons of great actors and voices. The story was incredible and entertaining to say the least. It's not for kids or the easily offended but that's part of what made it great.			The Book of 	Best show I've seen	SouthernSass	--	"
" 	Funniest thing I've seen on stage. If you're offended easily"
" 	Seriously"
" 	fun but really"
" 	Great music"
" 	Hilarious"
" 	The story is hilarious"
" 	This was a delightful up-lifting musical. I walked out feeling good"
" 	The music / songs are very catchy and easy to listen to. Very witty and well written. Take money to buy a t-shirt and plan to listen to the songs on your computer when you go home to keep the enjoyment going"
" 	It was laugh out loud fun. The singers had wonderful voices.			The Book of 	Great	Peggy S	--	"
" 	I've been wanting to see this show forever and I wasn't disappointed. Of course it is by the creators of South Park and they are uncensored so DO NOT see this if you're religious sensibilities are easily offended... or otherwise.  I usually get tired by the end of musicals"
" 	One of the funniest and most popular shows on B'way !! To get tix"
" 	The Book of  is outrageously funny and simply outrageous. This is not the play for you If you are easily offended. I almost felt embarrassed to be laughing so hard at such offensive"
" 	This is the funniest thing that has ever been on Broadway. Prepare to be shocked"
" 	Great show! Not for the faint of heart. Also the Eugene O'neill is a small theatre. There is not a bad seat in the place. I was in the last seat of the row"
" 	The reviews are true: this musical is hilarious. The songs are campy and fun"
" 	This is a great show. It is dirty"
" 	Very funny. But don't go if you are easily offended by raw humor. We love it. The two leads are fabulous. Had a great time. Seats and legroom is a bit tight. So if you are over  ft"
" 	for all.... but not kids under ..... get tix... see it ... and LYAO!!!! what a show!			The Book of 	hysterical	pji	--	"
" 	This show blew my mind. I've lived in Utah and so I know a little about the religion and culture that surrounds it. But the wonderful thing about the writing for BoM is you don't have to be even remotely familiar with ism to truly enjoy this show. The acting is superb"
" 	Buy tickets well in advance (we bought them  months ago). But it was worth the wait! The show is amazing - raunchy"
" 	There are not enough words to express the Cast and the Show- I have done theater and been a part of it since I was young- it is rare indeed that a show comes along that is original"
" 	This show had everything....the music was great"
" 	We had booked this show  months in advance in order to get in"
" 	Not much space between rows but good sitelines and very good show. The audience laughed a lot. It was not quite as good as I had expected but still a great night out.			The Book of 	Hottest ticket in town	myassistant	--	"
" 	Really enjoyed it and everyone laughed a lot. Very creative and unique. Great sets. Don't go though if you won't appreciate the fact that they make fun of s so much.			The Book of 	Hilarious	KellyL	--	"
" 	It tweaks the LDS but is not sacriligious. The songs are catchy"
" 	Totally irreverent and tongue in cheek! Great music and lyrics too. Totally recommend paying the high scalped ticket prices.			The Book of 	love it!	val	--	"
" 	This musical swept the Tony Awards because it was new"
" 	This was a fabulous play from the moment the first person opened their mouth until the final words were spoken. A truly terrific show!			The Book of 	One of the best plays we've ever seen!	shoelady	--	"
" 	""Went to see this play with a group of friends to celebrate my th birthday this weekend. It was hilarious. The songs and dance were wonderful"
" 	""""""Book of """" won't leave us with any Broadway standards"
" 	I have been going to NYC musicals for almost  years and this one is one of the best"
" 	I love how irreverent and funny the show was! We had great seats and love every minute of the show. If I could pick one show to see on Broadway"
" 	""Very funny. Best sequence was """"Scary  Dream"""". I will say no more.....""			The Book of 	Good show	sazoram	--	"
" 	Belly laughs and brilliant. Tickets may be difficult but try"
" 	From beginning to end you will find ends laugh opportunities.			The Book of 	South Park Finds a Home on Broadway	DCspace	--	"
" 	Run"
" 	The title doesn't convey how fun it will be but you know the Tony Awards were awarded for a good reason. A cast of over  to make you understand this religion in a very irreverent way.			The Book of 	Hilarious show"
" 	rather juvenile; ok jokes. My kids used to love South Park"
" 	There are no other words to describe this broadway show. It was hilarious and well worth every penny. 			The Book of 	A MUST SEE!	Triniguese	--	"
" 	You can't be sensitive and see this show.....it has to be your type of humor. But if it is"
" 	Don't be fooled by the raunchy language this is a great show with a great message. With a throw back to the Broadway traditional musical this contemporary show is sensational. The songs and lyric may make you blush but the message is clear and you come away from the show humming these tunes - I bought the soundtrack and continually play it.  You will laugh your head off- good dance numbers too.			The Book of 	Still the hottest ticket in town.	John B	--	"
" 	I'm not a huge musical person but this show was ridiculous! I came to NY to visit some family and wanted to do something different than the usual bars. That meant to my aunt"
" 	So this has to be one of the best things to happen to Broadway in decades. The music is hilarious. The cast is awesome. Hope it makes it to lots of places"
" 	love it! A cross between The Ten Commandments and Avenue Q. Great cast"
" 	Lived up to the reviews and hype. Extremely funny and moved along at a wonderful pace. Actors and dancers superb! Every solo singer was outstanding.			The Book of 	Best show ever	leeeastofall	--	"
" 	This is way beyond mature and would not advise children under  and uncomfortable for some people of any age			The Book of 	Do not bring children	Paul V	--	"
" 	Hilarious"
" 	Irreverent"
" 	Music and singing was excellent. Story was very funny. Wouldn't suit under . 			The Book of 	Very funny	JamesD	--	"
" 	believe me its worth it! a great seat without the drama.			The Book of 	Stand in line and get a cancellation seat	Italianshopper	--	"
" 	Great acting and catchy tunes. Irreverent and ultimately"
" 	""We ordered our tickets  months in advance for this show as it was sold out for many"
" 	This musical (by the writers of South Park) is very funny"
" 	Keep in mind"
" 	What a delight this was! Buy tickets far enough in advance if you want good seats"
" 	it was a very funny show and was entertaining even for a guy that doesn't really care for musicals"
" 	I've always enjoyed South Park so when my family decided to visit the city to see a show I started volleying to see this show. It IS offensive. It IS irreverent. But it is also quite humorous. Anti-religion stance"
" 	I felt fortunate to have a ticket to a play I heard so much about. I can say the writers did a great job with the story. It was funny and came full-circle; however"
" 	I was shocked by material and language"
